name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url
Mỳ Chua Cay Tomyum & Nộm Chân Gà Sốt Thái - Nguyễn Khánh Toàn,QUÁN ĂN,"47 Ngách 12 Ngõ 58 Nguyễn Khánh Toàn, P. Quan Hoa, Cầu Giấy, Hà Nội",Giảm món,4.5,50+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/my-chua-cay-tomyum-nom-chan-ga-sot-thai-nguyen-khanh-toan
Gà ủ muối V-food - Gà Ủ Muối - Lê Quang Đạo,QUÁN ĂN,"8/11/36/19 Lê Quang Đạo, P. Phú Đô, Nam Từ Liêm, Hà Nội",Giảm hết 10%,4.5,500+,Mở cửa,00:00 - 01:00 | 09:30 - 23:59,15.000 - 100.000,https://shopeefood.vn/ha-noi/ga-u-muoi-v-food-ga-u-muoi-le-quang-dao
Duy Tùng - Mì Trộn Indomiee - Thái Hà,QUÁN ĂN -Chi nhánh,"Số 19 Nghách 69 Ngõ 117 Thái Hà, Đống Đa, Hà Nội",Giảm món,4.5,50+,Mở cửa,11:00 - 23:55,15.000 - 35.000,https://shopeefood.vn/ha-noi/duy-tung-mi-tron-indomiee-thai-ha
Chả Cá Hà Nội 1871,QUÁN ĂN,"165B Phùng Hưng, P. Cửa Đông, Hoàn Kiếm, Hà Nội",Giảm món,0,3,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/cha-ca-ha-noi-1871
Cơm Rang Hải Hậu - Phở Trường - Hoàng Mai,QUÁN ĂN -Chi nhánh,"Số 32 Ngõ 120 Hoàng Mai, P. Hoàng Văn Thụ, Hoàng Mai, Hà Nội",Giảm hết 10%,3.5,100+,Mở cửa,00:00 - 01:00 | 10:30 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/com-rang-hai-hau-pho-truong-hoang-mai.vobhrb
Bánh Mì Bơ Béo - Bánh Mì Que & Bánh Mì Truyền Thống - Yên Duyên,QUÁN ĂN,"6B Ngõ 249 Yên Duyên, P. Yên Sở, Hoàng Mai, Hà Nội",Giảm món,4.5,50+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/banh-mi-bo-beo-banh-mi-que-banh-mi-truyen-thong-yen-duyen
Đệ Nhất Hàu - Trần Nhật Duật,QUÁN ĂN,"12B Trần Nhật Duật, P. Đồng Xuân, Hoàn Kiếm, Hà Nội",Giảm hết 20%,0,2,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/de-nhat-hau-tran-nhat-duat
Gà Rán Khâm Thiên - Gà Luộc & Gà Ủ Muối Hoa Tiêu - Khâm Thiên,QUÁN ĂN -Chi nhánh,"312 Khâm Thiên, P. Khâm Thiên, Đống Đa, Hà Nội",Giảm hết 22%,4.5,500+,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/ga-ran-kham-thien-ga-luoc-ga-u-muoi-hoa-tieu-kham-thien.xwhjlj
"Miu Quán - Cà Phê Muối, Gà Rán & Đồ Ăn Vặt",CAFÉ/DESSERT,"Số 5, Hẻm 51 Ngách 77 Ngõ 298 Ngọc Hồi, Xã Tam Hiệp, Thanh Trì, Hà Nội",Giảm món,4.5,10+,Mở cửa,08:00 - 23:30,0 - 0,https://shopeefood.vn/ha-noi/miu-quan-ca-phe-muoi-ga-ran-do-an-vat
K-Ant - Spaghetti & Poki Cá Hồi - Nguyễn Chí Thanh,QUÁN ĂN,"2 Ngõ 29 Nguyễn Chí Thanh, P. Ngọc Khánh, Ba Đình, Hà Nội",Giảm món,4.5,5,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/k-ant-spaghetti-poki-ca-hoi-nguyen-chi-thanh
