store_id,name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url,district
90,Ăn Vặt Teyneii - Tê Cay - Trung Kính,ĂN VẶT/VỈA HÈ,"Số 09 Ngõ 213 Trung Kính, P. Yên Hòa, Cầu Giấy, Hà Nội",Giảm món,5.0,10,Mở cửa,14:00 - 21:00,0 - 0,https://shopeefood.vn/ha-noi/an-vat-teyneii-te-cay-trung-kinh.nwyaqu,Cầu Giấy
91,Quán Ăn Hợp Tác Xã & Cơm Niêu - Tây Sơn,QUÁN ĂN -Chi nhánh,"15 Ngõ 252 Tây Sơn, P. Trung Liệt, Đống Đa, Hà Nội",Giảm món,4.5,999,Mở cửa,08:00 - 23:59,30.000 - 50.000,https://shopeefood.vn/ha-noi/quan-an-hop-tac-xa-com-nieu-tay-son,Đống Đa
92,TocoToco Bích Hoà - Trà Sữa - Cụm Công Nghiệp Thanh Oai,"CAFÉ/DESSERT, GIAO CƠM VĂN PHÒNG","Cụm Công Nghiệp Thanh Oai, Hà Đông, Hà Nội",Giảm món,4.5,10,Mở cửa,09:00 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/tocotoco-bich-hoa-tra-sua-cum-cong-nghiep-thanh-oai.mpkcdv,Hà Đông
93,Mì Gà Tần & Chân Gà Lắc - Quán Ăn Đêm Sen - Láng,QUÁN ĂN -Chi nhánh,"Số 2 Ngõ 942 Đường Láng, P. Láng Thượng, Đống Đa, Hà Nội",Giảm món,4.5,500,Mở cửa,00:00 - 01:40 | 18:15 - 23:59,25.000 - 85.000,https://shopeefood.vn/ha-noi/mi-ga-tan-chan-ga-lac-quan-an-dem-sen-lang,Đống Đa
94,"HANSIK SARANG - Gà Rán, Kimbap & Tokbokki","NHÀ HÀNG, SANG TRỌNG","45 Đường Giải Phóng, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",Giảm món,4.5,10,Mở cửa,10:00 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/hansik-sarang-ga-ran-kimbap-tokbokki,Hai Bà Trưng
95,"Hủ Tiếu Thái Lan, Trà Sữa Thái, Ăn Vặt - Pi Thai - 136 Vũ Phạm Hàm","Yêu thích
QUÁN ĂN -Chi nhánh","136 Vũ Phạm Hàm, P. Yên Hòa, Cầu Giấy, Hà Nội",Giảm món,4.5,100,Mở cửa,07:00 - 21:15,0 - 0,https://shopeefood.vn/ha-noi/hu-tieu-thai-lan-tra-sua-thai-an-vat-pi-thai-136-vu-pham-ham,Cầu Giấy
96,Cơm Ngon Cô Xuyến - Cơm Văn Phòng - Vĩnh Hưng,NHÀ HÀNG,"Số 10 Ngách 20 Ngõ 281 Vĩnh Hưng, P. Vĩnh Hưng, Hoàng Mai, Hà Nội",Giảm hết 10%,3.5,10,Mở cửa,00:00 - 23:59,0 - 0,https://shopeefood.vn/ha-noi/com-ngon-co-xuyen-com-van-phong-vinh-hung,Hoàng Mai
97,Cơm Thố Bách Khoa - Khâm Thiên,"Yêu thích
QUÁN ĂN -Chi nhánh","275 Khâm Thiên, Đống Đa, Hà Nội",Giảm món,4.5,999,Mở cửa,10:00 - 21:30,0 - 0,https://shopeefood.vn/ha-noi/com-tho-bach-khoa-kham-thien,Đống Đa
98,"Bếp Quyên - Bún Sườn Chua, Mì Gà Tần & Bún Đậu",QUÁN ĂN -Chi nhánh,"44 Ngõ 58 Trần Bình, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm món,4.5,999,Mở cửa,09:00 - 23:00,40.000 - 55.000,https://shopeefood.vn/ha-noi/bep-quyen-com-van-phong-bun-cha,Cầu Giấy
99,Cơm Tấm Anh Ba Sài Gòn,"Yêu thích
SHOP ONLINE","250 Chùa Quỳnh, Hai Bà Trưng, Hà Nội",Giảm món,4.5,999,Mở cửa,10:00 - 14:00 | 17:00 - 21:30,54.000 - 60.000,https://shopeefood.vn/ha-noi/com-tam-anh-ba-sai-gon,Hai Bà Trưng
